round,avg_loss,avg_enc_std,avg_teacher_std,salt_norm_mode,salt_teacher_std_mean,salt_teacher_std_min,salt_teacher_std_max,salt_teacher_target_finite,salt_student_centered_finite,student_update_norms,projector_update_norms,lr,round_time_s,gpu_mb,client_1_loss,client_2_loss,client_3_loss,client_4_loss,client_5_loss,client_6_loss,client_7_loss,client_8_loss,client_9_loss,client_10_loss,client_11_loss,client_12_loss
1,0.341990,0.1858,0.0445,batch,0.214595,0.189042,0.294484,1.000,1.000,"[3.2238733768463135, 1.2739084959030151, 0.8894182443618774, 1.599459171295166, 0.6584288477897644, 2.359652519226074, 3.3968117237091064, 3.6240999698638916, 4.056333541870117, 3.302255392074585, 3.6237497329711914, 0.40062206983566284]","[2.654137372970581, 0.9642837047576904, 0.6440651416778564, 1.245125412940979, 0.4643842279911041, 1.8664307594299316, 2.7331972122192383, 2.818268060684204, 2.9498422145843506, 2.6528096199035645, 2.811206817626953, 0.27070119976997375]",1.00e-04,333.4,5168,0.311789,0.731563,0.874256,0.628640,0.976102,0.467842,0.306158,0.290756,0.255887,0.324348,0.291235,1.115968
2,0.117630,0.3514,0.0446,batch,0.214651,0.189154,0.297264,1.000,1.000,"[2.4049668312072754, 1.521193504333496, 1.1431010961532593, 1.774748682975769, 0.8619320392608643, 2.065563201904297, 3.366462469100952, 3.6670620441436768, 4.511993408203125, 2.943284749984741, 3.5789380073547363, 0.5445582270622253]","[1.236386775970459, 1.1807767152786255, 0.830769419670105, 1.4437800645828247, 0.6074269413948059, 1.5506484508514404, 1.308180570602417, 1.3121715784072876, 1.4403940439224243, 1.2664213180541992, 1.2641018629074097, 0.3742918372154236]",2.00e-04,322.6,5165,0.114515,0.160533,0.159105,0.167608,0.148937,0.135325,0.112263,0.112182,0.109217,0.115331,0.112613,0.157104
3,0.085990,0.4148,0.0446,batch,0.214606,0.189113,0.300340,1.000,1.000,"[3.522322654724121, 1.2767783403396606, 1.062541127204895, 1.4837677478790283, 0.8702694773674011, 1.7912293672561646, 3.7237911224365234, 3.803312301635742, 4.863323211669922, 3.320449113845825, 3.863536834716797, 0.6808847784996033]","[1.2486326694488525, 1.0344666242599487, 0.8148687481880188, 1.249902367591858, 0.6435679793357849, 0.986941397190094, 1.2028088569641113, 1.294836163520813, 1.5425071716308594, 1.0861440896987915, 1.350782036781311, 0.47419238090515137]",3.00e-04,324.0,5164,0.090826,0.104753,0.106304,0.111420,0.105272,0.096511,0.085296,0.081791,0.081909,0.082265,0.079312,0.103605
4,0.074974,0.4409,0.0445,batch,0.214452,0.189054,0.295125,1.000,1.000,"[4.367987155914307, 1.199493646621704, 1.0492178201675415, 1.5596158504486084, 0.9266708493232727, 1.9198824167251587, 4.048230171203613, 4.6418561935424805, 5.869019031524658, 3.7836756706237793, 4.572493076324463, 0.8331412076950073]","[1.625982403755188, 0.9021940231323242, 0.7920295000076294, 1.1866660118103027, 0.6608168482780457, 0.927483320236206, 1.4693163633346558, 1.6569687128067017, 2.052365779876709, 1.2694698572158813, 1.6048744916915894, 0.5747331380844116]",4.00e-04,324.6,5160,0.081544,0.093790,0.093766,0.106459,0.091928,0.079733,0.071790,0.074557,0.068700,0.070003,0.070560,0.085160
5,0.067179,0.4500,0.0447,batch,0.214746,0.189261,0.297891,1.000,1.000,"[6.210664749145508, 1.340041160583496, 1.1372464895248413, 1.6729432344436646, 0.937993586063385, 2.0626211166381836, 5.452630043029785, 6.03645658493042, 9.538008689880371, 5.549366474151611, 6.2965521812438965, 0.9556583762168884]","[1.8386194705963135, 0.8580050468444824, 0.7818227410316467, 1.334702968597412, 0.6913065314292908, 1.0295162200927734, 1.5635879039764404, 1.9223626852035522, 2.6786839962005615, 1.5733875036239624, 1.7937123775482178, 0.6763550639152527]",5.00e-04,325.9,5162,0.075518,0.089272,0.087313,0.085609,0.100485,0.073639,0.064701,0.062914,0.059752,0.065314,0.064217,0.072912
6,0.056440,0.4343,0.0445,batch,0.214376,0.188958,0.296921,1.000,1.000,"[8.260998725891113, 1.3690286874771118, 1.045310139656067, 1.762900948524475, 0.8960307240486145, 2.9378395080566406, 7.404746055603027, 8.912373542785645, 10.685519218444824, 7.46041202545166, 8.462671279907227, 0.9561818838119507]","[2.1349189281463623, 0.7717862129211426, 0.6653062105178833, 1.260697603225708, 0.6124051213264465, 1.0192620754241943, 1.8633934259414673, 2.138934850692749, 2.677945375442505, 1.6971310377120972, 2.045894145965576, 0.6590080261230469]",5.00e-04,325.7,5155,0.065276,0.077125,0.075179,0.078213,0.078822,0.066033,0.053383,0.052842,0.049688,0.054358,0.051028,0.071560
7,0.046825,0.4226,0.0445,batch,0.214670,0.189036,0.296598,1.000,1.000,"[7.732504367828369, 1.3928899765014648, 1.043172001838684, 2.3949012756347656, 0.8659414649009705, 3.4635369777679443, 6.805997848510742, 7.528521537780762, 8.765109062194824, 5.753414630889893, 7.359936237335205, 0.9045339822769165]","[2.072561264038086, 0.6920390725135803, 0.5972256064414978, 1.245343804359436, 0.5594731569290161, 1.1692315340042114, 1.6044881343841553, 1.7520149946212769, 2.1217212677001953, 1.4176547527313232, 1.7086390256881714, 0.6366549730300903]",5.00e-04,324.3,5154,0.056579,0.064417,0.065407,0.072932,0.063945,0.054054,0.044070,0.043280,0.042397,0.040904,0.041189,0.059445
8,0.041206,0.4073,0.0446,batch,0.214502,0.189135,0.296467,1.000,1.000,"[6.884296894073486, 1.4904977083206177, 1.050600290298462, 2.578143358230591, 0.8256746530532837, 3.747161865234375, 6.499155521392822, 6.939150333404541, 8.128856658935547, 5.323112487792969, 6.71911096572876, 0.9126336574554443]","[1.9682530164718628, 0.675715982913971, 0.5599495768547058, 1.1762330532073975, 0.5225652456283569, 1.221315860748291, 1.422307014465332, 1.5037057399749756, 1.9287875890731812, 1.1685603857040405, 1.506095290184021, 0.6266268491744995]",5.00e-04,326.3,5152,0.049078,0.055979,0.056674,0.068091,0.050856,0.047451,0.038058,0.037490,0.037984,0.036587,0.036492,0.052276
